Traffic_Source,Time_Spent_on_Funnel_Stages,Bounce_Rate,Interactions,Number_of_Visits_Before_Conversion,Cart_Abandonment_Rate,Purchase_History,Device_Type,Time_of_Day,Discount_Usage,Loyalty_Score,Noise_Feature_1,Noise_Feature_2,Conversion
Organic Search,3.536414889528131,0.27677037422147444,6,1,0.37433825513517094,No,Mobile,Morning,Yes,7.763602027942718,0.5392852105444697,7,1
Social Media,4.624441694806515,0.32146506929478313,2,1,0.8460846193468035,No,Tablet,Afternoon,No,6.47722080730608,0.8268197609864799,24,1
Paid Ads,9.16645673079114,0.193634689854313,5,1,0.2555076629592501,No,Mobile,Afternoon,No,3.5714199022403905,0.41568022669730886,71,1
Organic Search,4.478380021081914,0.2221495675058164,1,1,0.6417341906316113,Yes,Mobile,Afternoon,No,3.6811361215816776,0.14195558061386204,51,1
Direct,11.337902915609906,0.48687538440567363,5,5,0.5964185418006536,No,Mobile,Evening,No,8.420191842884352,0.9222969984425275,48,1
Direct,7.786639127508992,0.4263230746545484,5,1,0.5061901290630026,No,Mobile,Night,Yes,3.81490025935069,0.3929319803689064,97,1
Direct,8.256784111833577,0.4983173015180947,4,1,0.7261705696895023,No,Mobile,Morning,No,4.847106251852935,0.3534153922126645,56,1
Paid Ads,7.164881097176318,0.44280287794016737,3,3,0.7381550664610217,No,Desktop,Afternoon,No,5.5465462120931015,0.6107933452750594,42,0
Organic Search,10.31854351563117,0.5408677202295191,2,3,0.6212489201480985,No,Mobile,Night,Yes,8.783228916453892,0.8286766886262783,56,1
Paid Ads,10.349479663331032,0.575642799630999,4,1,0.4058382289615607,No,Tablet,Night,Yes,1.9838696788985692,0.9680666451956025,41,1
Direct,9.005163055736514,0.0516566760267792,3,2,0.8966173961481978,Yes,Mobile,Afternoon,No,7.215737358437253,0.6362213644565778,11,1
Social Media,9.694367317722945,0.22913806991712748,6,5,0.386260145721019,Yes,Desktop,Afternoon,No,5.172647772800908,0.344632115026936,55,1
Paid Ads,7.363730990238723,0.3537248085019922,6,3,0.5195584999299595,No,Mobile,Afternoon,Yes,6.150904833614199,0.4383939354390659,32,1
Direct,9.626609020727145,0.3954644949025318,3,4,0.7032685762707604,Yes,Mobile,Afternoon,No,3.0873264841698873,0.6838339579835266,84,1
Direct,6.98636667357858,0.2659818852363933,8,4,0.39804229942577796,No,Desktop,Morning,Yes,6.366990490073043,0.967589149554963,74,0
Direct,8.006694866487207,0.5824047341976611,6,1,0.4823142684004108,No,Mobile,Afternoon,No,3.984654072428568,0.9838129537588691,63,1
Organic Search,7.1760687519011075,0.7959896736581198,6,5,0.11104240093474071,No,Mobile,Afternoon,No,4.395831381859532,0.6696042665208611,59,1
Organic Search,6.628344382042412,0.4372323911163468,6,1,0.6171568603932109,Yes,Mobile,Afternoon,Yes,5.789454544294699,0.3620914010335514,55,1
Organic Search,5.93266460683463,0.4168682064396423,4,1,0.7847666395919874,Yes,Desktop,Afternoon,Yes,5.96108259732196,0.4357010156966784,7,1
Direct,9.403070311576656,0.5698912510208662,5,2,0.5962683748677092,Yes,Mobile,Afternoon,Yes,0.6947541872439205,0.9377748024094841,50,1
Organic Search,11.93181773844039,0.026832048959312793,4,5,0.4676738970040975,No,Desktop,Evening,Yes,5.019538554176198,0.7292774392389184,5,1
Direct,11.51330591500868,0.4056937880876821,9,6,0.6038845168129342,No,Desktop,Evening,Yes,3.489651923619411,0.33864282597620177,9,1
Direct,4.230303992163694,0.5958071650935034,2,1,0.8041567882458573,No,Mobile,Morning,Yes,6.601171300897526,0.5154026788295711,36,0
Organic Search,11.86760915422062,0.27136920055977765,6,3,0.5535121163056216,Yes,Mobile,Afternoon,Yes,5.386415784283319,0.4856852020648291,14,1
Organic Search,7.045524495146213,0.15468788401960692,10,1,0.8117270290922924,No,Mobile,Morning,No,2.395854281707815,0.8437333916263003,85,1
Paid Ads,9.802199045436774,0.3628388779800444,6,4,0.5613882584776732,Yes,Mobile,Afternoon,Yes,3.656134532678495,0.014851793962762705,29,1
Direct,5.281354003858366,0.38786291335961587,4,1,0.47555527306780543,No,Mobile,Morning,No,7.672758434229731,0.7352905662080494,58,1
Organic Search,8.425939741622017,0.2182695436169083,7,3,0.659758167929632,No,Mobile,Night,No,5.2657427941786965,0.1791732656691667,21,1
Organic Search,8.941169548690722,0.8192322552101903,5,4,0.6039232473984077,Yes,Mobile,Afternoon,Yes,7.146933361756916,0.31371074173260816,26,1
Direct,3.5461856242410414,0.3042607237984109,5,1,0.45011651773600037,No,Mobile,Evening,Yes,5.404246858812916,0.6661850484704351,98,1
Organic Search,9.824801499032567,0.16926812971468627,4,4,0.6632913247079497,No,Mobile,Night,Yes,5.428487119073381,0.8110910199045569,32,1
Direct,12.037805023514945,0.38127573618587773,4,1,0.5234468680561482,No,Desktop,Afternoon,Yes,4.6301176585569195,0.7327012444357247,90,1
Direct,7.476056162955116,0.5815721275408983,6,1,0.5919702096545003,No,Mobile,Afternoon,Yes,1.5599671545366034,0.2800596280848079,30,0
Social Media,12.080504392484038,0.4034828497996462,4,3,0.27749176165142597,No,Desktop,Night,Yes,5.957565010901058,0.5194366480190541,18,1
Social Media,7.430919519642777,0.4971187840088005,5,3,0.6235721587237371,Yes,Mobile,Evening,No,5.71029556851045,0.3148967202822812,94,0
Paid Ads,10.548753593139852,0.22569788113336856,2,4,0.6580563489458872,Yes,Desktop,Morning,No,5.2760645774315975,0.4627134448661655,48,1
Organic Search,1.3442901021467009,0.6975376892807028,10,1,0.6519316886677187,No,Mobile,Night,No,6.890292483830296,0.6138799469840874,83,1
Direct,15.25633333794039,0.5123422055836887,7,1,0.6237260004206696,No,Mobile,Morning,Yes,6.782981901299958,0.05857265768954967,89,1
Organic Search,12.486374735728871,0.609540313775522,4,1,0.5553418602608995,No,Mobile,Morning,Yes,3.7586582278004457,0.9577721611226289,35,1
Organic Search,7.146123487238963,0.4730321264950339,3,2,0.2127959042655974,No,Mobile,Evening,No,3.000296392139351,0.5481437785328828,73,0
Direct,2.083732920068546,0.5649768075457569,3,1,0.5953758581266242,Yes,Mobile,Evening,No,5.007841175003436,0.44205981531498284,59,1
Organic Search,8.864085104916468,0.22538948806455453,7,1,0.5971659100912635,Yes,Mobile,Evening,Yes,7.862219172773942,0.4773451328220272,66,1
Direct,3.6682233587787296,0.3017179166620875,6,2,0.5532051756841712,No,Desktop,Afternoon,Yes,5.236533111237509,0.8345931850947136,24,1
Social Media,9.334560612672464,0.669296119111206,3,1,0.24225289289647262,No,Desktop,Afternoon,No,5.2830631067740885,0.11812211484739288,81,1
Direct,9.234697157492846,0.7119483894567928,9,1,0.47751851038807835,No,Mobile,Evening,Yes,3.837228766517102,0.9053429648816188,85,1
Organic Search,5.175790492993926,0.17058688005618464,2,4,0.41978776988776045,No,Desktop,Evening,Yes,3.5612576101120768,0.23198566905512685,38,0
Organic Search,11.362901070843133,0.44994721357276246,6,5,0.42708157216340253,No,Mobile,Afternoon,Yes,4.734859108388313,0.6908227299217534,43,1
Organic Search,10.41672410841852,0.31381123990295456,8,1,0.29835734307463146,No,Desktop,Evening,Yes,6.212216436085288,0.5564730365614545,86,1
Organic Search,10.92747001186569,0.2605937061270277,4,2,0.7629913420298042,Yes,Desktop,Afternoon,No,5.003805953960593,0.7632602194409693,37,1
Direct,8.026573111006686,0.45696793907109,6,6,0.569020104555694,No,Mobile,Afternoon,Yes,2.7040255785999046,0.1525430202660869,98,1
Social Media,3.75342779925888,0.6281925864730816,4,4,0.6532325793859823,No,Mobile,Afternoon,No,5.929097430620123,0.8168582660162413,71,1
Paid Ads,10.933616816633412,0.4903324946568388,4,3,0.504710901218662,No,Mobile,Afternoon,No,4.944036382526015,0.6504666847645593,79,1
Social Media,7.188885802592626,0.33609751001619304,4,1,0.5182393631394506,Yes,Desktop,Afternoon,No,3.6996157520836657,0.7786387779508104,24,0
Paid Ads,3.830659570421993,0.502972235987032,1,5,0.3127711975219949,No,Mobile,Evening,Yes,9.161896877375426,0.4883741292984016,81,1
